Rule Description,Level
Network traffic anomaly detected.,2
Listened ports status (netstat) changed (new port opened or closed).,2
Listened ports status (netstat) changed (new port opened or closed).,5
Network traffic anomaly detected.,1
Listened ports status (netstat) changed (new port opened or closed).,4
Network traffic anomaly detected.,4
Listened ports status (netstat) changed (new port opened or closed).,2
Log file rotated.,3
File modified.,3
Unauthorized access attempt detected.,5
Log file rotated.,3
Listened ports status (netstat) changed (new port opened or closed).,3
Log file rotated.,1
Log file rotated.,3
Log file rotated.,3
Network traffic anomaly detected.,1
Listened ports status (netstat) changed (new port opened or closed).,3
File modified.,4
Listened ports status (netstat) changed (new port opened or closed).,1
File modified.,5
Listened ports status (netstat) changed (new port opened or closed).,3
Network traffic anomaly detected.,1
Network traffic anomaly detected.,5
Log file rotated.,2
Log file rotated.,2
Unauthorized access attempt detected.,5
Unauthorized access attempt detected.,1
Listened ports status (netstat) changed (new port opened or closed).,1
Listened ports status (netstat) changed (new port opened or closed).,5
File modified.,3
Unauthorized access attempt detected.,2
Unauthorized access attempt detected.,2
File modified.,2
Listened ports status (netstat) changed (new port opened or closed).,3
Unauthorized access attempt detected.,3
File modified.,3
Log file rotated.,3
File modified.,1
Unauthorized access attempt detected.,3
Listened ports status (netstat) changed (new port opened or closed).,1
Listened ports status (netstat) changed (new port opened or closed).,4
Log file rotated.,1
Unauthorized access attempt detected.,5
Network traffic anomaly detected.,3
Unauthorized access attempt detected.,4
Log file rotated.,3
Network traffic anomaly detected.,2
File modified.,1
Log file rotated.,2
Log file rotated.,1
Unauthorized access attempt detected.,4
Listened ports status (netstat) changed (new port opened or closed).,5
Listened ports status (netstat) changed (new port opened or closed).,1
File modified.,1
Unauthorized access attempt detected.,4
Listened ports status (netstat) changed (new port opened or closed).,5
Listened ports status (netstat) changed (new port opened or closed).,3
File modified.,4
Unauthorized access attempt detected.,2
File modified.,4
Listened ports status (netstat) changed (new port opened or closed).,2
Listened ports status (netstat) changed (new port opened or closed).,3
Log file rotated.,5
Unauthorized access attempt detected.,3
Listened ports status (netstat) changed (new port opened or closed).,1
Listened ports status (netstat) changed (new port opened or closed).,2
Unauthorized access attempt detected.,3
File modified.,3
File modified.,2
File modified.,2
Unauthorized access attempt detected.,1
Log file rotated.,4
Listened ports status (netstat) changed (new port opened or closed).,5
Network traffic anomaly detected.,5
Network traffic anomaly detected.,1
Log file rotated.,2
Listened ports status (netstat) changed (new port opened or closed).,3
File modified.,5
Unauthorized access attempt detected.,4
File modified.,1
Listened ports status (netstat) changed (new port opened or closed).,4
Log file rotated.,2
Log file rotated.,4
Listened ports status (netstat) changed (new port opened or closed).,5
Unauthorized access attempt detected.,5
Log file rotated.,1
Unauthorized access attempt detected.,5
File modified.,1
File modified.,5
Listened ports status (netstat) changed (new port opened or closed).,3
Log file rotated.,2
Log file rotated.,5
Log file rotated.,5
Listened ports status (netstat) changed (new port opened or closed).,3
Log file rotated.,3
Unauthorized access attempt detected.,3
Network traffic anomaly detected.,5
File modified.,4
Network traffic anomaly detected.,5
Network traffic anomaly detected.,4
Network traffic anomaly detected.,3
Log file rotated.,3
Log file rotated.,3
Network traffic anomaly detected.,5
File modified.,4
Network traffic anomaly detected.,2
Network traffic anomaly detected.,3
Network traffic anomaly detected.,5
Log file rotated.,1
File modified.,2
Unauthorized access attempt detected.,1
File modified.,1
Network traffic anomaly detected.,3
Network traffic anomaly detected.,2
Log file rotated.,5
Unauthorized access attempt detected.,3
Unauthorized access attempt detected.,5
Listened ports status (netstat) changed (new port opened or closed).,4
File modified.,1
Log file rotated.,5
File modified.,4
Log file rotated.,2
Unauthorized access attempt detected.,1
Unauthorized access attempt detected.,5
File modified.,4
Unauthorized access attempt detected.,2
File modified.,5
Unauthorized access attempt detected.,3
Network traffic anomaly detected.,4
Unauthorized access attempt detected.,2
Log file rotated.,1
Unauthorized access attempt detected.,5
Log file rotated.,3
Network traffic anomaly detected.,3
Unauthorized access attempt detected.,3
Network traffic anomaly detected.,1
Network traffic anomaly detected.,2
Network traffic anomaly detected.,5
Network traffic anomaly detected.,5
Network traffic anomaly detected.,3
